Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days:Policy-Accident,Days:Policy-Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange-Claim,NumberOfCars,Year,BasePolicy,FraudFound
11,5,3,0,0,2,0,1,1,0,21,0,6,2,5,1,12,300,1,4,3,0,2,3,0,0,0,0,2,2,1994,0,No
0,3,3,0,0,1,0,4,0,0,34,0,7,2,5,2,15,400,4,4,3,0,5,4,1,0,0,0,0,0,1994,1,No
9,5,5,0,0,4,10,2,0,1,47,0,7,2,5,3,7,400,3,4,3,1,6,6,0,0,0,0,0,0,1994,1,No
5,2,6,1,1,5,6,1,0,1,65,1,0,2,1,4,4,400,2,4,3,1,7,7,1,0,0,3,0,0,1994,0,No
0,5,1,0,0,2,1,2,1,0,27,1,7,2,5,5,3,400,1,4,3,0,4,4,0,0,0,0,0,0,1994,1,No
9,4,5,0,0,3,10,1,0,0,20,1,7,2,5,6,12,400,3,4,3,0,4,2,0,0,0,2,0,0,1994,1,No
1,1,6,0,0,1,1,3,0,1,36,1,7,2,5,7,14,400,1,4,3,1,6,5,0,0,0,1,0,0,1994,1,No
10,1,5,0,0,2,2,4,0,0,0,0,7,2,5,8,1,400,4,4,3,1,0,0,0,0,0,0,0,0,1994,1,No
11,4,6,0,0,3,11,5,0,0,30,0,7,2,5,9,7,400,4,4,3,0,5,4,0,1,0,2,0,0,1994,1,No
3,3,2,2,0,3,3,3,0,1,42,0,5,1,5,10,7,400,1,4,3,2,7,5,0,0,0,2,0,0,1994,2,No
2,2,0,3,0,3,2,3,0,0,71,0,2,0,5,11,7,400,3,4,3,0,7,8,0,0,0,0,0,0,1994,2,No
2,5,1,0,0,1,2,5,0,1,52,0,0,2,1,12,13,400,1,4,3,2,7,6,0,0,0,0,0,0,1994,0,No
0,3,5,2,0,5,0,3,0,1,28,0,0,2,5,13,11,400,1,4,3,1,6,4,0,0,0,0,0,0,1994,0,No
0,5,5,0,1,3,1,1,0,0,0,1,1,0,5,14,12,400,3,4,3,0,0,0,0,0,0,0,0,0,1994,1,No
0,5,1,2,0,4,1,1,0,1,61,0,0,2,5,15,3,400,1,4,3,0,7,7,0,0,0,0,0,0,1994,0,No
